Name,Peak,Average,Peak Time
I_VAL_VBATA_AUDIO_JA_0.01_R4V31,0.007498,-0.000224,111.883000
V_VAL_V5DX_AUDIO_CODEC_PVDD_0.01_R5J19,5.170551,5.128799,69.501000
I_VAL_V5DX_AUDIO_CODEC_PVDD_0.01_R5J19,0.110952,-0.000350,164.888000
V_NC3,0.001036,0.000204,149.427000
I_NC3,0.101877,0.101877,0.000000
V_NC4,0.000886,0.000172,106.349000
I_NC4,0.101847,-0.011688,0.290000
V_VAL_VBATA_0.002_R3B5,13.078870,13.030312,149.435000
I_VAL_VBATA_0.002_R3B5,3.255569,0.566745,109.858000
V_VAL_ADP_VIN_CHGR_CSN,3.315652,3.245039,71.207000
V_VAL_ADP_VIN_CHGR_CSP,0.159976,0.114514,47.143000
V_VAL_VBATT_SENSE_N_EMPTY,13.086089,13.033022,149.435000
I_VAL_VBATT_SENSE_N_EMPTY,0.000232,0.000002,179.564000
V_VAL_VBATA_IMVP_0.002_R4B12,13.078228,13.031962,149.435000
I_VAL_VBATA_IMVP_0.002_R4B12,2.767901,0.113443,149.427000
V_VAL_V3P3S_PCIE_X2_SLOT_0.005_R8N1,3.375015,3.355586,74.524000
I_VAL_V3P3S_PCIE_X2_SLOT_0.005_R8N1,0.032191,0.006733,14.583000
V_NC5,2.770074,2.709592,71.207000
I_NC5,0.102896,0.101545,0.003000
V_VAL_V1P8S_MCSI_CAM2_0.01_R9C20,1.795901,1.789112,109.456000
I_VAL_V1P8S_MCSI_CAM2_0.01_R9C20,0.179797,0.048017,179.530000
V_VAL_V1P8A_ROP_0.002_R1F29,1.799024,1.791955,67.600000
I_VAL_V1P8A_ROP_0.002_R1F29,0.258971,0.038029,97.464000
V_VAL_V1P8DX_AUDIO_DMIC_JD_JS_0.01_R4H20,1.797722,1.791666,59.708000
I_VAL_V1P8DX_AUDIO_DMIC_JD_JS_0.01_R4H20,0.013532,0.002016,15.122000
V_VAL_V5DX_AUDIO_CODEC_AVDD_0.022_R5W6,5.170200,5.128736,48.668000
I_VAL_V5DX_AUDIO_CODEC_AVDD_0.022_R5W6,0.028976,0.000549,57.460000
I_VAL_V3P3DX_TCH_PNL1_0.01_R6B36,0.006518,0.000058,57.932000
I_VAL_V1P8DX_TCH_PNL1_0.01_R6M19,0.003143,0.000266,123.766000
I_VAL_V3P3DX_TCH_PNL2_0.01_R5B31,0.006723,0.000041,33.716000
I_VAL_V1P8DX_TCH_PNL2_0.01_R5M40,0.002495,0.000124,115.644000
I_VAL_V1P8S_TCH_PAD_0.01_R9H13,0.002006,0.000120,24.522000
I_VAL_V3P3S_TCH_PAD_0.01_R9G32,0.006233,0.000117,85.264000
I_VAL_V3P3A_KBC_EC_0.01_R2W19,0.159551,0.040305,83.972000
I_VAL_V1P8A_VTR_0.01_R2W62,0.001444,0.000364,149.433000
I_VAL_V3P3A_VTR1_EC_0.01_R1J2,0.005847,0.003514,124.619000
I_VAL_V3P3A_VTR_REG_EC_0.01_R1J1,0.019258,0.004953,22.595000
I_VAL_V3P3A_V1P8A_VTR3_EC_0.01_R2W48,0.001597,0.000119,149.433000
I_VAL_V3P3A_PLL_ANLG_0.01_R1J10,0.003270,0.001064,25.716000
I_VAL_V3P3S_UFS_0.01_R6T3,0.001044,0.000039,105.715000
I_VAL_V1P8S_UFS_0.01_R6R1,0.001280,0.000118,58.431000
I_VAL_V1P2S_UFS_0.01_R5F6,0.001041,0.000025,15.635000
I_VAL_V2P5S_UFS_0.022_R6F13,0.000692,0.000063,75.728000
I_VAL_V3P3A_0.001_R7G26,2.377983,0.536755,148.795000
I_VAL_V5A_0.001_R7H1,1.218136,0.418652,45.743000
I_VAL_V3P3S_3P3A_SNSR_HDR_0.01_R6W3,0.001866,-0.000094,138.312000
I_VAL_V1P8S_1P8A_SNSR_HDR_0.01_R6W12,0.001349,0.000184,15.978000
I_VAL_V3P3S_FPS_0.01_R7J49,0.003040,0.000170,12.803000
I_VAL_V1P8S_3P3S_FPS_0.01_R7W11,0.001056,-0.000123,115.566000
I_VAL_V3P3M_LAN_0.01_R9J2,0.015731,0.000214,177.984000
I_NC6,0.105049,0.086880,0.007000
I_VAL_V1P8A_TCSS_AIC1_0.01_R1N20,0.000899,-0.000118,165.569000
I_VAL_V3P3A_TCSS_AIC1_0.01_R1N14,0.000985,-0.000072,37.877000
I_VAL_V3P3S_TCSS_AIC1_0.01_R1N23,0.000820,-0.000133,101.383000
I_VAL_V1P8A_TCSS_AIC2_0.01_R1P40,0.001134,-0.000070,96.375000
I_VAL_V3P3A_TCSS_AIC2_0.01_R1P35,0.000813,-0.000553,90.752000
I_VAL_V3P3S_TCSS_AIC2_0.01_R1P49,0.001932,0.000188,3.012000
I_VAL_VCC_SPI_TPM_0.01_R1R19,0.001707,-0.000125,68.716000
I_NC7,0.000952,0.000919,135.214000
I_VAL_VCC3V3_SX_TCP_PA_0.01_R9P1,0.000699,-0.000290,90.754000
I_VAL_VCC3V3_SX_TCP_PB_0.01_R9R14,0.001404,0.000412,15.377000
I_NC8,0.105281,0.105281,0.000000
I_NC9,0.105281,0.105281,0.000000
V_VAL_V3P3DX_TCH_PNL1_0.01_R6B36,3.329548,3.312139,156.071000
V_VAL_V1P8DX_TCH_PNL1_0.01_R6M19,1.797246,1.791134,149.427000
V_VAL_V3P3DX_TCH_PNL2_0.01_R5B31,3.328826,3.311141,3.499000
V_VAL_V1P8DX_TCH_PNL2_0.01_R5M40,1.797006,1.791133,159.652000
V_VAL_V1P8S_TCH_PAD_0.01_R9H13,1.796685,1.790300,84.700000
V_VAL_V3P3S_TCH_PAD_0.01_R9G32,3.328826,3.311615,66.502000
V_VAL_V3P3A_KBC_EC_0.01_R2W19,3.328105,3.308061,13.637000
V_VAL_V1P8A_VTR_0.01_R2W62,1.793959,1.789577,149.927000
