Name,Peak,Average,Peak Time
V_VAL_ADP_VIN_CHGR_CSN,3.302523,3.250302,164.806000
V_VAL_ADP_VIN_CHGR_CSP,0.162790,0.116070,177.615000
V_VAL_VBATT_SENSE_N_EMPTY,13.148222,13.032926,80.246000
I_VAL_VBATT_SENSE_N_EMPTY,0.000221,0.000000,49.028000
V_VAL_VBATA_IMVP_0.002_R4B12,13.145302,13.032047,80.246000
I_VAL_VBATA_IMVP_0.002_R4B12,3.515379,0.109953,80.245000
V_VAL_V3P3S_PCIE_X2_SLOT_0.005_R8N1,3.365752,3.355370,48.855000
I_VAL_V3P3S_PCIE_X2_SLOT_0.005_R8N1,0.033132,0.007476,167.014000
V_NC5,2.759289,2.716105,177.445000
I_NC5,0.102896,0.101747,0.000000
V_VAL_V1P8S_MCSI_CAM2_0.01_R9C20,1.795901,1.788981,96.283000
I_VAL_V1P8S_MCSI_CAM2_0.01_R9C20,0.180188,0.047546,101.128000
V_VAL_V1P8A_ROP_0.002_R1F29,1.799610,1.791854,134.431000
I_VAL_V1P8A_ROP_0.002_R1F29,0.251307,0.036768,103.527000
V_VAL_V1P8DX_AUDIO_DMIC_JD_JS_0.01_R4H20,1.799012,1.791497,134.431000
I_VAL_V1P8DX_AUDIO_DMIC_JD_JS_0.01_R4H20,0.013609,0.002466,136.790000
V_VAL_V5DX_AUDIO_CODEC_AVDD_0.022_R5W6,5.171724,5.128596,21.768000
I_VAL_V5DX_AUDIO_CODEC_AVDD_0.022_R5W6,0.029584,0.000777,125.684000
I_VAL_V3P3DX_TCH_PNL1_0.01_R6B36,0.006840,0.000183,96.182000
I_VAL_V1P8DX_TCH_PNL1_0.01_R6M19,0.003062,0.000384,120.004000
I_VAL_V3P3DX_TCH_PNL2_0.01_R5B31,0.006723,0.000170,59.860000
I_VAL_V1P8DX_TCH_PNL2_0.01_R5M40,0.002495,0.000251,75.700000
I_VAL_V1P8S_TCH_PAD_0.01_R9H13,0.001846,0.000254,35.405000
I_VAL_V3P3S_TCH_PAD_0.01_R9G32,0.005753,0.000233,85.466000
I_VAL_V3P3A_KBC_EC_0.01_R2W19,0.159630,0.040328,10.345000
I_VAL_V1P8A_VTR_0.01_R2W62,0.001605,0.000497,138.260000
I_VAL_V3P3A_VTR1_EC_0.01_R1J2,0.006328,0.003641,6.799000
I_VAL_V3P3A_VTR_REG_EC_0.01_R1J1,0.019258,0.005073,24.351000
I_VAL_V3P3A_V1P8A_VTR3_EC_0.01_R2W48,0.001276,0.000251,36.366000
I_VAL_V3P3A_PLL_ANLG_0.01_R1J10,0.003349,0.001194,86.981000
I_VAL_V3P3S_UFS_0.01_R6T3,0.001206,0.000165,75.242000
I_VAL_V1P8S_UFS_0.01_R6R1,0.001441,0.000236,48.385000
I_VAL_V1P2S_UFS_0.01_R5F6,0.001282,0.000149,130.589000
I_VAL_V2P5S_UFS_0.022_R6F13,0.000656,0.000122,17.366000
I_VAL_V3P3A_0.001_R7G26,2.548783,0.551263,120.094000
I_VAL_V5A_0.001_R7H1,1.242372,0.419620,164.143000
I_VAL_V3P3S_3P3A_SNSR_HDR_0.01_R6W3,0.001544,-0.000180,150.737000
I_VAL_V1P8S_1P8A_SNSR_HDR_0.01_R6W12,0.001268,0.000260,9.704000
I_VAL_V3P3S_FPS_0.01_R7J49,0.003120,0.000246,128.901000
I_VAL_V1P8S_3P3S_FPS_0.01_R7W11,0.000735,-0.000198,170.584000
I_VAL_V3P3M_LAN_0.01_R9J2,0.015650,0.000301,142.701000
I_NC6,0.105049,0.088012,0.000000
I_VAL_V1P8A_TCSS_AIC1_0.01_R1N20,0.000658,-0.000199,24.298000
I_VAL_V3P3A_TCSS_AIC1_0.01_R1N14,0.000985,-0.000156,37.320000
I_VAL_V3P3S_TCSS_AIC1_0.01_R1N23,0.000739,-0.000212,74.058000
I_VAL_V1P8A_TCSS_AIC2_0.01_R1P40,0.001054,-0.000148,162.311000
I_VAL_V3P3A_TCSS_AIC2_0.01_R1P35,0.000813,-0.000630,13.463000
I_VAL_V3P3S_TCSS_AIC2_0.01_R1P49,0.002013,0.000259,132.817000
I_VAL_VCC_SPI_TPM_0.01_R1R19,0.001627,-0.000211,123.844000
I_NC7,0.000913,0.000877,176.435000
I_VAL_VCC3V3_SX_TCP_PA_0.01_R9P1,0.000619,-0.000302,27.340000
I_VAL_VCC3V3_SX_TCP_PB_0.01_R9R14,0.001323,0.000418,17.765000
I_NC8,0.105281,0.105281,0.000000
I_NC9,0.105281,0.105281,0.000000
V_VAL_V3P3DX_TCH_PNL1_0.01_R6B36,3.329388,3.312080,167.359000
V_VAL_V1P8DX_TCH_PNL1_0.01_R6M19,1.797006,1.791121,106.114000
V_VAL_V3P3DX_TCH_PNL2_0.01_R5B31,3.328345,3.311087,132.678000
V_VAL_V1P8DX_TCH_PNL2_0.01_R5M40,1.797086,1.791123,126.499000
V_VAL_V1P8S_TCH_PAD_0.01_R9H13,1.797006,1.790287,11.236000
V_VAL_V3P3S_TCH_PAD_0.01_R9G32,3.328666,3.311571,45.330000
V_VAL_V3P3A_KBC_EC_0.01_R2W19,3.328586,3.308025,43.918000
V_VAL_V1P8A_VTR_0.01_R2W62,1.791234,1.789344,70.238000
V_VAL_V3P3A_VTR1_EC_0.01_R1J2,3.327784,3.307751,5.969000
V_VAL_V3P3A_VTR_REG_EC_0.01_R1J1,3.327945,3.307870,56.562000
V_VAL_V3P3A_V1P8A_VTR3_EC_0.01_R2W48,1.791234,1.789327,51.976000
V_VAL_V3P3A_PLL_ANLG_0.01_R1J10,3.327864,3.307726,102.619000
V_VAL_V3P3S_UFS_0.01_R6T3,3.329548,3.311821,93.656000
V_VAL_V1P8S_UFS_0.01_R6R1,1.796044,1.790360,87.687000
V_VAL_V1P2S_UFS_0.01_R5F6,1.215529,1.215092,53.214000
V_VAL_V2P5S_UFS_0.022_R6F13,2.587969,2.587272,155.109000
V_VAL_V3P3A_0.001_R7G26,3.329708,3.312607,35.856000
V_VAL_V5A_0.001_R7H1,5.143976,5.128467,85.334000
V_VAL_V3P3S_3P3A_SNSR_HDR_0.01_R6W3,3.329388,3.311892,77.505000
V_VAL_V1P8S_1P8A_SNSR_HDR_0.01_R6W12,1.796525,1.790436,125.750000
V_VAL_V3P3S_FPS_0.01_R7J49,3.328586,3.311566,4.823000
V_VAL_V1P8S_3P3S_FPS_0.01_R7W11,1.796605,1.790436,30.162000
V_VAL_V3P3M_LAN_0.01_R9J2,3.329628,3.312006,93.976000
V_NC6,3.655362,3.478488,163.988000
V_VAL_V1P8A_TCSS_AIC1_0.01_R1N20,1.797727,1.791862,7.790000
V_VAL_V3P3A_TCSS_AIC1_0.01_R1N14,3.327945,3.310639,0.618000
V_VAL_V3P3S_TCSS_AIC1_0.01_R1N23,3.328265,3.311280,65.245000
V_VAL_V1P8A_TCSS_AIC2_0.01_R1P40,1.797727,1.791831,24.461000
V_VAL_V3P3A_TCSS_AIC2_0.01_R1P35,3.328105,3.310628,115.236000
V_VAL_V3P3S_TCSS_AIC2_0.01_R1P49,3.328506,3.311274,39.896000
V_VAL_VCC_SPI_TPM_0.01_R1R19,1.797727,1.791809,141.792000
V_NC7,10.513983,10.513983,0.000000
V_VAL_VCC3V3_SX_TCP_PA_0.01_R9P1,0.000251,0.000025,1.736000
V_VAL_VCC3V3_SX_TCP_PB_0.01_R9R14,0.000230,-0.000013,1.076000
V_NC8,0.000230,-0.000007,4.615000
V_NC9,0.000230,-0.000008,3.196000
P_VAL_VCCCORE_PH1_0.002_R4D5,8.596475,0.010824,80.245000
P_VAL_VCCCORE_PH2_0.002_R5D5,8.033834,0.001609,80.251000
P_VAL_VCCCORE_PH3_0.002_R5D6,6.997295,0.001077,80.245000
P_VAL_VCCCORE_PH4_0.002_R5D7,8.303131,0.000930,80.245000
P_VAL_VCCCORE_PH5_0.002_R6D1,0.128293,0.014208,80.245000
P_VAL_VCC_LP_ECORE_0.002_R4D6,10.858193,0.489068,80.209000
P_VAL_VCCSA_0.002_R3C22,2.706237,0.512111,80.245000
P_VAL_VDD2_CPU_0.002_R5G2,1.506803,0.372800,80.245000
P_VAL_VDDQ_CPU_0.005_R5F23,0.173478,0.026351,134.006000
P_VAL_VCCGT_PH1_0.002_R3C23,3.618087,0.249489,47.632000
P_VAL_VCCGT_PH2_0.002_R2C16,0.901750,0.010879,88.015000
P_VAL_VCCST_0.002_R3P2,0.060102,0.016862,80.237000
P_VAL_V5A_TCSS_AIC1_0.005_R1M29,0.249537,0.038087,36.782000
P_VAL_V5A_TCSS_AIC2_0.005_R1P7,0.127280,-0.011897,166.335000
P_VAL_VCCPRIM_VNNAON_0.001_R3D1,1.109611,0.218138,57.393000
P_VAL_VCCPRIM_VNNAON_FLTR_0.01_R4R2,0.032262,0.010102,37.654000
P_VAL_VCCPRIM_IO_0.004_R4D8,0.509798,0.125890,129.182000
P_VAL_VCCPRIM_IO_FLTR_0.01_R4R1,0.011841,-0.000554,136.761000
P_VAL_VCCPRIM_3P3_0.022_R2E28,0.027096,-0.000220,47.855000
P_VAL_VCCPRIM_1P8_0.01_R2E52,0.016157,0.004257,118.981000
P_VAL_VCCPRIM_1P8_FLTRA_0.01_R2E69,0.055090,0.009614,122.371000
P_VAL_VCCPRIM_1P8_FLTRB_0.01_R2E33,0.012460,-0.000113,108.461000
P_VAL_VCCRTC_0.022_R2E36,0.005620,0.001039,73.212000
P_VAL_VCCIO_TERM_V1P25_0.01_R2M29,0.004290,-0.002321,97.447000
